year,quarter,score
2019,3,-0.9982861876487732
2019,3,0.9997891783714294
2019,3,0.7791807055473328
2019,3,0.9993113279342651
2019,3,0.9107441306114197
2019,3,0.997165858745575
2019,3,-0.9975787997245789
2019,3,-0.9932886958122253
2019,2,0.997686505317688
2019,2,-0.9659201502799988
2019,2,0.8370921015739441
2019,2,0.9963865280151367
2019,2,0.9488706588745117
2019,2,0.8364735841751099
2019,2,0.9037857055664062
2019,2,-0.998896598815918
2019,2,0.9994984865188599
2019,2,0.9975927472114563
2019,2,-0.9972628355026245
2019,2,-0.9288848042488098
2019,2,0.9937188625335693
2019,2,-0.9982713460922241
2019,2,0.9937654733657837
2019,2,-0.9994321465492249
2019,2,0.9985705614089966
2019,2,-0.9932886958122253
2019,2,-0.9072908759117126
2019,2,-0.9807674288749695
2019,1,-0.5848008990287781
2019,1,-0.9444820284843445
2019,1,-0.9947913885116577
2019,1,0.872205376625061
2019,1,0.9426088333129883
2019,1,0.9916538596153259
2019,1,0.9994814991950989
2019,1,-0.981399655342102
2019,1,0.9994449019432068
2019,1,-0.8009889125823975
2019,1,0.999717652797699
2019,1,-0.9932886958122253
2019,1,0.9947450160980225
2019,1,0.9996728897094727
2019,1,0.9966017007827759
2019,1,0.9997853636741638
2019,1,0.9998619556427002
2019,1,0.9969616532325745
2019,1,0.9965121150016785
2019,1,0.9992252588272095
2018,4,-0.9984772801399231
2018,4,0.9996190071105957
2018,4,0.9998716115951538
2018,4,0.9975860118865967
2018,4,0.9997193217277527
2018,4,0.7674043774604797
2018,4,-0.9997896552085876
2018,4,0.9731559157371521
2018,4,0.983214259147644
2018,4,-0.9996776580810547
2018,4,0.9997673630714417
2018,4,-0.8806360363960266
2018,3,-0.9993952512741089
2018,3,0.7354170680046082
2018,3,0.984552264213562
2018,2,-0.8700903654098511
2018,2,0.9997664093971252
2018,2,0.9955517649650574
2018,2,-0.9952266216278076
2018,2,-0.9809829592704773
2018,2,0.9965683221817017
2018,2,0.8800404667854309
2018,2,-0.9919443130493164
2018,2,0.9957202076911926
2018,2,-0.9847886562347412
2018,1,0.9925506114959717
2018,1,0.9412369728088379
2018,1,-0.5469312071800232
2018,1,0.9998704195022583
2018,1,-0.9965974688529968
2018,1,0.9908157587051392
2018,1,0.9969245791435242
2018,1,-0.9950069189071655
2017,4,-0.9997743964195251
2017,4,-0.9968332648277283
2017,4,0.9827385544776917
2017,4,0.9988402724266052
2017,4,0.9992387294769287
2017,4,-0.9968090653419495
2017,4,0.9797535538673401
2017,4,-0.9938742518424988
2017,4,0.9867931008338928
2017,4,-0.646449089050293
2017,4,0.9982494711875916
2017,3,0.9902697801589966
2017,3,-0.9901161789894104
2017,3,0.9875248670578003
2017,3,0.9915114045143127
2017,3,0.9998148083686829
2017,2,0.8645398020744324
2017,2,-0.9930822849273682
2017,2,0.9549282193183899
2017,2,0.9994335770606995
2017,2,0.9996346235275269
2017,2,0.9730663895606995
2017,2,0.9845964312553406
2017,2,0.9961836934089661
2017,2,0.9994447827339172
2017,2,-0.8330063223838806
2017,2,0.9997817873954773
2017,2,0.9983342289924622
2017,1,0.9974889755249023
2017,1,0.9997509121894836
2017,1,0.7414025068283081
2017,1,0.9995777010917664
2017,1,-0.9926316738128662
2017,1,-0.6582662463188171
2017,1,-0.9973019361495972
2017,1,-0.9837258458137512
2017,1,0.999326229095459
2016,4,-0.9997579455375671
2016,4,0.9953098893165588
2016,4,-0.97357177734375
2016,4,-0.982133686542511
2016,4,-0.9867116212844849
2016,4,0.932931661605835
2016,4,0.9755061864852905
2016,4,0.9851716756820679
2016,4,0.984968364238739
2016,4,-0.9975124597549438
2016,4,-0.9773095846176147
2016,3,0.9983171224594116
2016,3,0.9951311349868774
2016,3,0.9717963337898254
2016,3,-0.9974542260169983
